cod_produto,nom_produto,cod_categoria,vlr_produto,qtd_estoque
1,Premium Speaker 1,A,749.94,92
2,Premium Monitor 2,A,2924.77,42
3,Max Mouse 3,A,1811.89,93
4,Compact RAM 4,A,726.52,55
5,Pro Monitor 5,A,2200.77,77
6,Pro SSD 6,A,1261.53,57
7,Basic Charger 7,A,585.97,85
8,Premium Headset 8,A,1800.17,110
9,Ultra Charger 9,B,731.64,18
10,Premium SSD 10,B,179.4,44
11,Ultra HD 11,C,84.22,128
12,Super Speaker 12,A,1487.2,140
13,Smart GPU 13,A,2475.44,127
14,Basic Hub 14,A,2625.1,16
15,Basic Webcam 15,A,2093.89,39
16,Max HD 16,B,644.51,146
17,Advanced HD 17,B,166.52,67
18,Super Cabinet 18,C,145.19,147
19,Pro Powerbank 19,B,338.34,90
20,Compact Powerbank 20,C,38.99,32
21,Pro Adapter 21,C,41.98,133
22,Advanced Cabinet 22,A,1261.95,141
23,Super Motherboard 23,B,308.68,63
24,Premium Hub 24,A,662.23,56
25,Basic Keyboard 25,A,870.22,85
26,Ultra Keyboard 26,A,582.63,133
27,Ultra Charger 27,A,1882.23,72
28,Premium GPU 28,A,1419.46,120
29,Eco Adapter 29,C,163.7,128
30,Smart Cabinet 30,B,293.16,94
31,Smart Cabinet 31,B,263.34,132
32,Premium Mouse 32,B,627.89,46
33,Compact RAM 33,A,1824.13,6
34,Max Webcam 34,C,53.97,103
35,Smart Cabinet 35,B,656.92,120
36,Premium Headset 36,A,2016.07,116
37,Smart CPU 37,A,1871.83,58
38,Advanced Headset 38,B,304.21,25
39,Premium Router 39,A,2144.03,37
40,Smart SSD 40,B,786.28,55
41,Ultra Mouse 41,C,108.65,65
42,Pro Monitor 42,B,178.34,50
43,Smart Hub 43,C,79.54,50
44,Smart Mouse 44,C,75.03,71
45,Advanced Cable 45,A,2240.07,108
46,Ultra HD 46,A,850.21,134
47,Premium Mouse 47,A,2272.28,43
48,Basic Monitor 48,A,2028.78,64
49,Advanced Headset 49,B,572.48,148
50,Smart HD 50,A,734.95,90
51,Compact GPU 51,A,2556.5,58
52,Max Mouse 52,B,326.5,112
53,Pro Microphone 53,B,495.38,51
54,Premium Cabinet 54,B,780.2,110
55,Super Motherboard 55,A,696.14,121
56,Advanced Charger 56,A,933.24,5
57,Eco RAM 57,B,757.5,133
58,Basic Webcam 58,C,95.53,80
59,Smart Webcam 59,B,372.22,73
60,Pro Webcam 60,A,744.59,89
61,Super Webcam 61,B,550.3,73
62,Pro Cable 62,C,110.56,5
63,Pro RAM 63,B,567.57,132
64,Pro Charger 64,B,568.14,105
65,Super Mouse 65,B,284.34,33
66,Ultra Motherboard 66,A,1341.39,94
67,Compact Cable 67,A,2536.17,109
68,Compact CPU 68,B,720.36,25
69,Pro Cable 69,C,122.33,103
70,Ultra GPU 70,B,371.52,41
71,Basic Powerbank 71,A,1095.59,34
72,Pro RAM 72,C,73.57,23
73,Advanced Motherboard 73,A,1298.28,132
74,Compact HD 74,B,209.61,144
75,Max Headset 75,A,2453.24,43
76,Compact Speaker 76,A,639.68,79
77,Advanced Cable 77,A,2667.17,11
78,Premium Cable 78,B,729.73,9
79,Eco Motherboard 79,B,711.04,90
80,Basic Powerbank 80,C,87.73,23
81,Eco Speaker 81,B,739.13,43
82,Ultra Cabinet 82,B,226.39,109
83,Smart Powerbank 83,B,410.14,117
84,Super Microphone 84,A,2505.27,65
85,Eco Adapter 85,A,1132.48,24
86,Advanced GPU 86,A,1636.35,121
87,Smart RAM 87,B,744.92,78
88,Premium Microphone 88,C,131.62,12
89,Pro Router 89,A,1959.14,105
90,Eco GPU 90,C,94.02,145
91,Eco CPU 91,C,124.61,14
92,Ultra Powerbank 92,C,94.03,122
93,Super Adapter 93,C,88.56,90
94,Super Powerbank 94,C,26.63,133
95,Basic Microphone 95,A,1835.87,137
96,Max Webcam 96,C,156.27,87
97,Advanced SSD 97,A,1186.83,8
98,Super Router 98,A,1395.41,76
99,Compact Keyboard 99,A,2578.43,54
100,Eco Charger 100,C,177.8,61
